original_ent,original_entLabel,original_coord,original_categoryLabels,original_P1566,original_streetAddress,original_description,original_latitudine,original_longitudine,distance,formatted,lat,lon,housenumber,name,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
http://www.wikidata.org/entity/Q98316545,viale Vincenzo Lancetti,"(9.17573, 45.495252)",strada urbana,,,strada di Milano,45.495252,9.17573,1.2158216764871865,"Lancetti, 20158 Milano MI, Italia",45.495255,9.175745,,,Lancetti,Comune di Milano,20158,Bovisa,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q97940892,via Moneta,"(9.185032, 45.463888)",strada urbana,,,strada di Milano,45.463888,9.185032,1.947274529802929,"Via Moneta, 4, 20123 Milano MI, Italia",45.463874,9.185017,4,,Via Moneta,Comune di Milano,20123,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q97743854,viadotto dei Parchi,"(9.251944444, 45.480555555)","viadotto, ponte stradale",,,viadotto autostradale italiano,45.480555555,9.251944444,8.140932703534245,"Tangenziale Est, 21771 Milano MI, Italia",45.4804623,9.2520949,,Tangenziale Est,Tangenziale Est,,21771,Municipio 3,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q97703801,piazza del Tricolore,"(9.206436, 45.467844)",piazza,,,piazza di Milano,45.467844,9.206436,29.50362331888687,"Piazza Del Tricolore, 1, 20129 Milano MI, Italia",45.468011,9.206142,1,,Piazza Del Tricolore,Comune di Milano,20129,Lambrate,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q97693712,Viale Edoardo Jenner,"(9.17788, 45.49696)",strada urbana,,,,45.49696,9.17788,15.357491951155398,"Viale Edoardo Jenner, 44a, 20159 Milano MI, Italia",45.497081,9.177785,44a,,Viale Edoardo Jenner,Comune di Milano,20159,Bovisa,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q97693700,viale Monte Ceneri,"(9.155838, 45.492841)",strada urbana,,,strada di Milano,45.492841,9.155838,0.1358533805772605,"Sopraelevata Monte Ceneri, 20155 Milano MI, Italia",45.4927981,9.1557693,,Sopraelevata Monte Ceneri,Sopraelevata Monte Ceneri,Municipio 8 di Milano,20155,Cagnola,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q97693692,Viale Piceno,"(9.21733, 45.46495)",strada urbana,,,,45.46495,9.21733,14.49573635961859,"Viale Piceno, 19, 20129 Milano MI, Italia",45.465023,9.217176,19,,Viale Piceno,Comune di Milano,20129,Ortica,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q97693680,,"(9.21593, 45.45459)",strada urbana,,,,45.45459,9.21593,0,"Mercato Comunale, Viale Umbria, 20135 Milano MI, Italia",45.4544511,9.215843872234935,,Mercato Comunale,Viale Umbria,,20135,Municipio 4,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q97623117,circonvallazione esterna,"(9.18353, 45.47148)",gruppo,,,circonvallazione di Milano,45.47148,9.18353,28.492660234384587,"Foro Buonaparte, 24, 20121 Milano MI, Italia",45.4715982,9.1832058,24,,Foro Buonaparte,Comune di Milano,20121,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q974532,Biblioteca Trivulziana,"(9.17821, 45.47033)","biblioteca di un ente territoriale italiano, biblioteca pubblica",,"Castello Sforzesco Snc, 20121 Milano",biblioteca pubblica a Milano,45.47033,9.17821,0,"Castello Sforzesco, Piazza Castello, 20121 Milano MI, Italia",45.4702882,9.178108130177076,,Castello Sforzesco,Piazza Castello,,20121,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q974532,Biblioteca Trivulziana,"(9.17821, 45.47033)","biblioteca di un ente territoriale italiano, biblioteca pubblica",,piazza Castello Sforzesco - 20121 Milano,biblioteca pubblica a Milano,45.47033,9.17821,0,"Castello Sforzesco, Piazza Castello, 20121 Milano MI, Italia",45.4702882,9.178108130177076,,Castello Sforzesco,Piazza Castello,,20121,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q974532,Biblioteca Trivulziana,"(9.17821, 45.47033)","biblioteca di un ente territoriale italiano, biblioteca pubblica",,"Castello Sforzesco, 20121 Milano",biblioteca pubblica a Milano,45.47033,9.17821,0,"Castello Sforzesco, Piazza Castello, 20121 Milano MI, Italia",45.4702882,9.178108130177076,,Castello Sforzesco,Piazza Castello,,20121,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q97188167,vicolo dei Lavandai,"(9.174788, 45.452036)",strada urbana,,,strada di Milano,45.452036,9.174788,3.086447190810448,"Roggia delle Lavandaie, 20136 Milano MI, Italia",45.4520236,9.1747526,,Roggia delle Lavandaie,,,20136,Municipio 6,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q97170623,Nolo,"(9.216614414, 45.493115349)","quartiere di Milano, quartiere",,,quartiere di Milano,45.493115349,9.216614414,6.069638018614191,"Via Luigi Varanini, 13, 20127 Milano MI, Italia",45.493077,9.216559,13,,Via Luigi Varanini,Comune di Milano,20127,Greco,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q97159768,Cittadella degli Archivi,"(9.19933, 45.51325)",edificio,,,,45.51325,9.19933,58.361156583818115,"Via Ferdinando Gregorovius, 15, 20162 Milano MI, Italia",45.513772,9.199252,15,,Via Ferdinando Gregorovius,Comune di Milano,20162,Bruzzano,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q97143558,chiesa di Santa Maria del Buon Consiglio,"(9.164171, 45.500952)",chiesa,,,chiesa di Milano,45.500952,9.164171,0,"Chiesa parrocchiale di Santa Maria del Buon Consiglio, Via Ercole Ricotti, 20158 Milano MI, Italia",45.50098265,9.164185931342438,,Chiesa parrocchiale di Santa Maria del Buon Consiglio,Via Ercole Ricotti,,20158,Municipio 9,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
