original_ID_ENTITA,original_id_dataset_originale,original_nome_dataset,original_last_update,original_municipio,original_indirizzo,original_civico,original_codice_albero,original_data_origine,original_genere_albero,original_specie_albero,original_varieta_albero,original_diam_tronc_albero,original_diam_chiom_albero,original_h_m_albero,original_longitudine,original_latitudine,original_Location,original_categoria,original_Funzionante_antenna,original_Città,original_CAP,original_NIL,original_TARGA_bottega,original_ANNO_ISTITUZIONE_bottega,original_attivita_storica,original_ent_WDPOI,original_P1566_WDPOI,original_codice_panchina,original_descrizione_codice_panchina,original_codice_tavolo,original_descrizione_codice_tavolo,original_Fonte_NIL,original_Shape_Length,original_Shape_Area,original_entLabel_WDPOI,original_wikidata_POI,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
138217,1193.0,Wikidata,2024-07-31,,nan,,,,,,,,,,9.19622,45.47349,"(9.19622, 45.47349)","monumento commemorativo, statua",,MILANO,20121.0,,,,,http://www.wikidata.org/entity/Q44713511,,,,,,,,,monumento a Indro Montanelli,Si,0.31189739683594847,"Monumento a Indro Montanelli, 20121 Milano MI, Italia",45.47349,9.196224,Monumento a Indro Montanelli,,,20121,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138421,68.0,Nuclei d'Identità Locale (NIL) VIGENTI - PGT 2030,2021-02-12,,nan,,,2020-05-02,,,,,,,9.162855682067455,45.47353525514572,"(45.47353525514572, 9.162855682067457)",NIL,,,,PAGANO,,,,,,,,,,Milano 2030 - PGT Approvato,5221.836695802372,1289685.5619241334,,,0,"Istituto Leone Tredicesimo, Largo Alberto Camus, 20145 Milano MI, Italia",45.47346315,9.1622035285646,Istituto Leone Tredicesimo,,Largo Alberto Camus,20145,Municipio 8 di Milano,Tre Torri,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138535,354.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.180125758383133,45.47355915625175,"(45.47355915625175, 9.180125758383133)",fontana,,,20121.0,PARCO SEMPIONE,,,,,,,,,,,,,,,67.40262416256108,"Viale Gerolamo Gadio, 2, 20121 Milano MI, Italia",45.4737856,9.1809276,,2,Viale Gerolamo Gadio,20121,Comune di Milano,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138541,438.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.17712217867837,45.47356037330327,"(45.473560373303265, 9.17712217867837)",fontana,,,20121.0,PARCO SEMPIONE,,,,,,,,,,,,,,,31.912638801020353,"Bar Bianco, Viale Ibsen, 4, 20121 Milano MI, Italia",45.4735526,9.1775313,Bar Bianco,4,Viale Ibsen,20121,Comune di Milano,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138589,170.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,8.0,nan,,,,,,,,,,9.156542496989292,45.47357102682542,"(45.47357102682542, 9.156542496989292)",fontana,,,20145.0,TRE TORRI,,,,,,,,,,,,,,,0,"Area cani Cesare-Plutarco, Piazzale Giulio Cesare, 20145 Milano MI, Italia",45.473686400000005,9.15680547846205,Area cani Cesare-Plutarco,,Piazzale Giulio Cesare,20145,Municipio 8 di Milano,Tre Torri,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138720,298.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,3.0,nan,,,,,,,,,,9.229683878856576,45.47360149032774,"(45.47360149032774, 9.229683878856575)",fontana,,,20133.0,CITTA' STUDI,,,,,,,,,,,,,,,15.624881689864296,"Via Sandro Botticelli, 34, 20133 Milano MI, Italia",45.473466,9.229737,,34,Via Sandro Botticelli,20133,Comune di Milano,Lambrate,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
138800,1923.0,Wikidata,2024-07-31,,nan,,,,,,,,,,9.19806,45.47362,"(9.19806, 45.47362)",scultura,,MILANO,20121.0,,,,,http://www.wikidata.org/entity/Q31990615,,,,,,,,,busto a Ernesto Teodoro Moneta,Si,2.5449598948492866,"Ernesto Teodoro Moneta, 20121 Milano MI, Italia",45.473642,9.198069,Ernesto Teodoro Moneta,,,20121,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138970,488.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,7.0,nan,,,,,,,,,,9.103469221636471,45.47366033585959,"(45.47366033585959, 9.103469221636473)",fontana,,,20153.0,QUARTO CAGNINO,,,,,,,,,,,,,,,3.7281536907582753,"Via Taggia, 20153 Milano MI, Italia",45.4723496,9.1043395,Via Taggia,,Via Taggia,20153,,Municipio 7,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
139104,214.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,3.0,nan,,,,,,,,,,9.22329972400147,45.473695553431696,"(45.473695553431696, 9.22329972400147)",fontana,,,20133.0,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,,,,,,,,,,,,,,,17.734644081592805,"Largo Rio de Janeiro, 5, 20133 Milano MI, Italia",45.4736935,9.2230723,,5,Largo Rio de Janeiro,20133,,Municipio 3,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
139299,61.0,Nuclei d'Identità Locale (NIL) VIGENTI - PGT 2030,2021-02-12,,nan,,,2020-05-02,,,,,,,9.108096395182534,45.473739882611305,"(45.473739882611305, 9.108096395182534)",NIL,,,,QUARTO CAGNINO,,,,,,,,,,Milano 2030 - PGT Approvato,4648.169990780246,986354.2126550385,,,47.952938972711095,"Via Privata Luigi Zoja, 1, 20153 Milano MI, Italia",45.474166,9.108191,,1,Via Privata Luigi Zoja,20153,Comune di Milano,,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
